id,firstName,lastName,worksTotal,gender,image,imageUrl,wikipediaUrl,notes,thumbnailFile,wikiDataId
598,Zenobia J,Bowman,9,,,,,,,
249,Blagden,Chambers,9,,,,,,,
474,Alfred William (R.I.),Strutt,9,male,,,,,,
602,John S,Bowman,9,male,,,,,,
2880,C A,Houten,9,,,,,,,
450,B B,Portal,9,,,,,,,
760,William,Bowry,9,male,,,,,,
625,Jessie  (Mrs Joseph Arthur Bennett,Bennett,9,female,,,,,,
2871,Tudor St. George,Tucker,9,,,,,,,
781,Marion E,Drewe,9,,,,,,,
47,John V.,Bayly,9,male,,,,,,
652,Mina,Creed,9,,,,,,,
1,Alfred J,Lane,9,male,,,,,,
2623,George,O'Brien,9,male,,,,,,
2432,W T,Jordan,9,,,,,,,
51,,Sherriff and Downing,9,,,,,,,
295,Walter T,Butler,9,male,,,,,,
1872,Mary Morton,Allport,9,female,,,,,,
2346,Louis Felix,Henry,9,male,,,,,,
2125,W H,Davies,9,,,,,,,
2544,Emily,Meston,9,female,,,,,,
2005,Gracius Joseph,Broinowski,9,,,,,,,
87,Frederick,Price,9,male,,,,,,
677,Margaret,Butterworth,9,female,,,,,,
2859,Mrs. W,Thornton,9,female,,,,,,
654,Joseph,Gaut,9,male,,,,,,
2189,Maurice Appleby,Felton,9,male,,,,,,
1975,Ellen,Burgess,9,female,,,,,,
124,Jochim Matthias,Wendt,9,,,,,,,
419,Charles,Troedel,9,male,,,,,,
2205,Thomas,Flintoff,9,male,,,,,,
385,Florence M,Green,8,,,,,,,
2492,Thomas Hamilton,Lyttleton,8,male,,,,,,
1922,Ludwig,Becker,8,male,,,,,,
2246,Henry Glede,Garlick,8,male,,,,,,
282,M,Bullen,8,,,,,,,
2132,Lucien,Dechaineux,8,male,,,,,,
1945,Barcroft Capel,Boake,8,,,,,,,
364,Helen G. (Mrs),Taylor,8,female,,,,,,
1846,Arthur W,Chapple,8,male,,,,,,
132,Miss M M,Willshire,8,female,,,,,,
1414,Octavius Levi,Montefiore,8,male,,,,,,
2853,Edmund,Thomas,8,male,,,,,,
349,Ada J,Newman,8,female,,,,,,
2868,K,Tregear,8,,,,,,,
1561,Andrew,Robertson,8,male,,,,,,
2233,,Freeman Brothers,8,,,,,,,
1888,Robert,Atkinson,8,male,,,,,,
801,Miss Mabel,Hill,8,female,,,,,,
2879,May,Vale,8,female,,,,,,
656,Arthur M,MacIlwaine,8,male,,,,,,
2893,Theresa Susannah Eunice Snell,Walker,8,female,,,,,,
345,Frank,Goldstraw,8,male,,,,,,
1379,Cyrus,Mason,8,male,,,,,,
1703,Mrs. E R,Thomas,8,female,,,,,,
2695,Richard junior,Read,8,male,,,,,,
798,James A,Bowman,8,male,,,,,,
325,Hugh,Paterson,8,male,,,,,,
75,William,Detmold,8,male,,,,,,
2082,William Delafield,Cook,8,male,,,,,,
2145,George,Dinham,8,male,,,,,,
985,George,Cherry,8,male,,,,,,
2262,George Alexander,Gilbert,8,male,,,,,,
2542,Harden Sidney,Melville,8,,,,,,,
299,J B,Despointes,8,,,,,,,
2135,Cornelius,Delohery,8,male,,,,,,
1786,D,Wilkinson,8,,,,,,,
1908,Charles Decimus,Barraud,8,male,,,,,,
